               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029379,           0.0090279,           0.0012872,             0.90112,             0.76362,             0.79609,             0.44904,            0.037097,            0.014442,           0.0038054,            0.008845,            0.008845,            0.008845
                  37,            0.030138,            0.008623,           0.0013576,             0.91173,              0.7559,             0.79441,              0.4623,            0.035654,            0.015236,           0.0058576,            0.008812,            0.008812,            0.008812
                  38,             0.02955,           0.0086672,           0.0014046,              0.9138,             0.74316,             0.76971,             0.43178,            0.037168,            0.015734,           0.0046844,            0.008779,            0.008779,            0.008779
                  39,             0.02927,           0.0086704,           0.0013317,             0.90207,             0.75911,             0.79405,             0.45927,            0.034527,            0.014368,           0.0026316,            0.008746,            0.008746,            0.008746
                  40,            0.029014,           0.0084365,           0.0012552,             0.90579,             0.76467,             0.80125,             0.47608,            0.034047,            0.014954,           0.0023881,            0.008713,            0.008713,            0.008713
                  41,            0.028602,           0.0085796,           0.0012459,              0.9092,             0.74655,             0.78679,              0.4208,            0.038278,            0.015511,           0.0034691,             0.00868,             0.00868,             0.00868
                  42,            0.028711,           0.0083997,           0.0012262,             0.91978,             0.74951,             0.79324,             0.47662,            0.035362,             0.01527,           0.0032719,            0.008647,            0.008647,            0.008647
                  43,            0.028509,           0.0081756,           0.0013038,              0.9097,             0.74684,             0.78429,             0.45532,            0.036323,              0.0154,           0.0041127,            0.008614,            0.008614,            0.008614
                  44,            0.027775,           0.0082498,           0.0012201,             0.88689,             0.75815,             0.78247,             0.42609,             0.03693,            0.015326,           0.0024331,            0.008581,            0.008581,            0.008581
                  45,            0.028848,           0.0085451,           0.0012307,             0.91787,              0.7394,             0.79414,             0.45277,            0.035371,            0.014575,           0.0023477,            0.008548,            0.008548,            0.008548
                  46,            0.028269,           0.0084799,           0.0011652,             0.89609,             0.74922,             0.79351,             0.45861,            0.035212,            0.015586,           0.0038147,            0.008515,            0.008515,            0.008515
                  47,             0.02809,           0.0084506,           0.0011336,             0.91167,             0.74711,             0.78966,             0.45034,            0.035781,            0.016301,           0.0034274,            0.008482,            0.008482,            0.008482
                  48,            0.027953,           0.0083701,           0.0011889,              0.9281,             0.75145,             0.78881,              0.4588,            0.035109,            0.016264,           0.0034653,            0.008449,            0.008449,            0.008449
                  49,            0.027587,           0.0082951,           0.0012115,             0.90402,             0.75519,             0.79507,             0.47615,            0.034054,            0.014603,           0.0030603,            0.008416,            0.008416,            0.008416
                  50,            0.027222,           0.0085197,           0.0011393,             0.89171,             0.75713,             0.78522,             0.43244,            0.036897,            0.016009,           0.0045858,            0.008383,            0.008383,            0.008383
                  51,            0.027091,           0.0082557,            0.001164,             0.89729,             0.75432,             0.77895,             0.44922,            0.035859,            0.016011,           0.0027954,             0.00835,             0.00835,             0.00835
                  52,             0.02766,           0.0081982,           0.0011491,             0.89604,             0.75681,             0.78892,             0.46438,            0.034614,            0.015684,           0.0022886,            0.008317,            0.008317,            0.008317
                  53,            0.027268,           0.0083337,           0.0011271,             0.90898,             0.76077,              0.8042,             0.47329,            0.034081,             0.01556,           0.0027405,            0.008284,            0.008284,            0.008284
                  54,            0.027259,           0.0081285,           0.0012376,             0.92103,             0.74798,             0.77679,              0.4436,            0.036448,            0.016182,           0.0030309,            0.008251,            0.008251,            0.008251
                  55,            0.027041,           0.0081394,           0.0013042,             0.91285,             0.74938,             0.77966,             0.45675,            0.035082,            0.016073,           0.0031265,            0.008218,            0.008218,            0.008218
                  56,            0.026708,           0.0078238,           0.0014555,             0.89884,             0.76091,             0.77596,             0.44035,            0.036453,            0.015397,           0.0024476,            0.008185,            0.008185,            0.008185
                  57,            0.026607,           0.0082336,           0.0010784,             0.90594,             0.74552,             0.79061,             0.45528,             0.03471,            0.015663,           0.0033502,            0.008152,            0.008152,            0.008152
                  58,            0.027323,           0.0081178,           0.0012502,             0.90817,             0.76753,             0.78445,             0.45418,            0.035122,            0.016154,           0.0033446,            0.008119,            0.008119,            0.008119
                  59,            0.026608,           0.0079742,            0.001138,             0.90665,             0.75871,             0.78088,             0.45391,            0.036534,            0.015903,           0.0034973,            0.008086,            0.008086,            0.008086
                  60,            0.026493,           0.0078438,           0.0010747,             0.91743,             0.75611,             0.79537,             0.45179,            0.034443,            0.015143,           0.0030986,            0.008053,            0.008053,            0.008053
                  61,            0.026105,           0.0079266,           0.0010401,             0.89848,             0.76193,             0.78686,             0.46454,            0.035832,            0.015532,            0.005204,             0.00802,             0.00802,             0.00802
                  62,            0.026704,           0.0080406,           0.0011437,             0.89816,             0.75372,             0.78472,             0.45419,            0.034709,            0.015433,            0.002339,            0.007987,            0.007987,            0.007987
                  63,            0.026423,           0.0081043,           0.0012633,             0.90545,             0.75121,             0.78686,             0.46313,            0.034796,            0.015747,           0.0028614,            0.007954,            0.007954,            0.007954
                  64,            0.026135,           0.0077319,           0.0012535,             0.91308,             0.74542,             0.78513,             0.46783,            0.035249,            0.016134,           0.0023804,            0.007921,            0.007921,            0.007921
                  65,            0.026055,           0.0081599,           0.0011323,             0.87925,             0.76952,             0.78353,             0.44935,            0.036004,            0.016218,           0.0025471,            0.007888,            0.007888,            0.007888
                  66,            0.026098,           0.0080585,           0.0010873,             0.90046,              0.7443,             0.76869,             0.45591,            0.036053,            0.017159,           0.0048845,            0.007855,            0.007855,            0.007855
                  67,             0.02611,           0.0078076,           0.0010956,             0.91867,             0.75508,              0.7854,             0.45816,            0.035675,            0.016266,            0.002967,            0.007822,            0.007822,            0.007822
                  68,            0.025956,           0.0077837,           0.0010928,             0.91006,             0.75392,             0.78267,             0.45379,            0.034623,             0.01613,           0.0024065,            0.007789,            0.007789,            0.007789
                  69,            0.025747,           0.0079255,           0.0010347,             0.90685,             0.76129,              0.7886,             0.46373,            0.035233,            0.016035,           0.0023816,            0.007756,            0.007756,            0.007756
                  70,            0.025787,           0.0078786,            0.001156,             0.90945,             0.76192,             0.78699,             0.46046,            0.035333,            0.016272,            0.002494,            0.007723,            0.007723,            0.007723
                  71,            0.025806,           0.0077885,           0.0011373,             0.89402,             0.75242,             0.77796,             0.46163,             0.03477,            0.016534,            0.002429,             0.00769,             0.00769,             0.00769
                  72,            0.025788,           0.0079865,             0.00124,             0.90421,             0.75219,             0.77641,             0.43867,            0.035505,            0.015813,           0.0021232,            0.007657,            0.007657,            0.007657
                  73,            0.025336,           0.0075997,           0.0011064,             0.91227,             0.74891,             0.77833,             0.44901,            0.036091,            0.015791,           0.0020865,            0.007624,            0.007624,            0.007624
                  74,            0.025233,           0.0076576,           0.0011174,             0.90269,             0.75742,             0.78149,             0.45504,            0.033921,            0.015317,           0.0018487,            0.007591,            0.007591,            0.007591
                  75,            0.024948,           0.0074793,           0.0010815,              0.9104,             0.76153,             0.77838,             0.46393,            0.034138,            0.016105,           0.0021283,            0.007558,            0.007558,            0.007558
                  76,            0.025737,           0.0076217,           0.0012345,             0.90944,             0.75711,             0.78487,             0.46807,            0.033726,            0.015168,           0.0020969,            0.007525,            0.007525,            0.007525
                  77,            0.025427,           0.0075767,            0.001053,             0.91516,             0.75767,             0.78215,             0.46493,            0.034509,            0.016573,           0.0022893,            0.007492,            0.007492,            0.007492
                  78,            0.025179,            0.007706,           0.0011695,             0.90792,             0.75732,             0.78164,             0.46367,            0.033649,            0.016102,           0.0021847,            0.007459,            0.007459,            0.007459
                  79,            0.025019,           0.0075277,           0.0011053,             0.90315,             0.75311,             0.77896,              0.4634,            0.035278,            0.016761,           0.0023675,            0.007426,            0.007426,            0.007426
                  80,              0.0251,           0.0076836,           0.0010915,             0.91395,             0.74989,             0.78254,             0.46509,            0.034284,            0.016482,           0.0022994,            0.007393,            0.007393,            0.007393
                  81,            0.024354,           0.0074248,          0.00098579,             0.91138,             0.74516,              0.7797,              0.4744,            0.034869,            0.017286,           0.0030099,             0.00736,             0.00736,             0.00736
                  82,            0.024477,           0.0076965,           0.0010651,             0.89728,              0.7446,             0.77427,             0.45564,            0.035693,            0.016913,           0.0027214,            0.007327,            0.007327,            0.007327
                  83,            0.024244,           0.0074459,           0.0010226,             0.90974,             0.76385,             0.78771,             0.46855,            0.034512,            0.016464,           0.0021217,            0.007294,            0.007294,            0.007294
                  84,            0.024671,           0.0076802,           0.0011313,             0.90656,               0.766,             0.78726,             0.47441,            0.034262,            0.015286,           0.0023047,            0.007261,            0.007261,            0.007261
                  85,            0.024715,           0.0075694,           0.0011473,             0.91212,             0.74951,             0.77688,              0.4663,            0.034212,            0.016706,           0.0025559,            0.007228,            0.007228,            0.007228
                  86,             0.02432,           0.0074305,           0.0010448,             0.90619,             0.75716,             0.76934,             0.45858,            0.034755,            0.016452,           0.0031764,            0.007195,            0.007195,            0.007195
                  87,            0.024207,           0.0075433,          0.00095672,             0.90786,             0.75742,             0.77772,             0.45814,            0.034577,            0.015972,           0.0032524,            0.007162,            0.007162,            0.007162
                  88,            0.024869,           0.0075387,           0.0011553,             0.89123,             0.75853,             0.78557,             0.46268,            0.034531,            0.016878,           0.0039968,            0.007129,            0.007129,            0.007129
                  89,            0.024199,           0.0075121,          0.00099266,             0.91813,              0.7498,             0.77851,             0.45792,            0.035159,            0.016605,           0.0032623,            0.007096,            0.007096,            0.007096
                  90,            0.024187,           0.0072767,          0.00098217,             0.90664,             0.75972,             0.78605,             0.45443,            0.034818,            0.016222,           0.0026929,            0.007063,            0.007063,            0.007063
                  91,            0.024027,           0.0074778,           0.0010667,             0.91774,             0.75791,             0.78541,             0.46891,            0.034952,            0.016454,           0.0030926,             0.00703,             0.00703,             0.00703
                  92,            0.023765,           0.0071691,          0.00083854,             0.91087,             0.76515,              0.7917,             0.47886,            0.034904,             0.01624,           0.0034746,            0.006997,            0.006997,            0.006997
                  93,              0.0245,           0.0073039,           0.0010307,             0.88878,             0.76902,             0.79626,             0.48375,            0.034008,             0.01596,           0.0033744,            0.006964,            0.006964,            0.006964
                  94,            0.023374,           0.0072603,           0.0010032,             0.90186,             0.76362,              0.7858,             0.46882,              0.0349,            0.016476,           0.0031648,            0.006931,            0.006931,            0.006931
                  95,            0.023488,           0.0072659,          0.00087924,             0.91034,             0.76045,             0.78541,             0.46099,            0.034259,            0.016778,            0.002336,            0.006898,            0.006898,            0.006898
                  96,            0.023745,           0.0073243,           0.0011479,             0.90935,              0.7604,             0.78884,             0.45362,            0.034267,            0.016102,           0.0022765,            0.006865,            0.006865,            0.006865
                  97,            0.023578,           0.0070889,           0.0010293,             0.91106,             0.76083,             0.78406,              0.4652,            0.034037,            0.016894,           0.0030084,            0.006832,            0.006832,            0.006832
                  98,            0.023877,            0.007338,          0.00099189,             0.91339,             0.76393,             0.78175,              0.4587,            0.035254,            0.016574,            0.002896,            0.006799,            0.006799,            0.006799
                  99,            0.023709,           0.0073498,           0.0011544,             0.92067,             0.75284,             0.77704,             0.46041,             0.03486,            0.016864,           0.0028219,            0.006766,            0.006766,            0.006766
                 100,            0.023294,           0.0073146,          0.00096734,             0.91769,             0.75448,             0.77734,             0.47472,             0.03449,            0.016717,           0.0034388,            0.006733,            0.006733,            0.006733
                 101,            0.023181,           0.0072327,          0.00094923,             0.89656,             0.76965,             0.78865,             0.46964,               0.033,            0.016057,           0.0024954,              0.0067,              0.0067,              0.0067
                 102,            0.023702,           0.0071174,          0.00098988,             0.89201,             0.75825,             0.78048,             0.46018,            0.034407,            0.016522,             0.00288,            0.006667,            0.006667,            0.006667
                 103,            0.023247,           0.0073168,          0.00090768,             0.89918,             0.76272,             0.78176,             0.46334,            0.034366,            0.016721,           0.0027974,            0.006634,            0.006634,            0.006634
                 104,            0.022947,           0.0070397,           0.0010124,             0.91522,             0.76993,             0.78655,             0.47372,            0.035126,            0.016517,            0.003187,            0.006601,            0.006601,            0.006601
                 105,            0.023336,           0.0072381,          0.00099747,             0.90172,             0.76238,             0.78521,             0.46959,            0.034119,            0.016429,           0.0030171,            0.006568,            0.006568,            0.006568
                 106,            0.022847,           0.0073293,          0.00089508,             0.90848,              0.7573,             0.78832,             0.47051,            0.034347,            0.016473,           0.0023795,            0.006535,            0.006535,            0.006535
                 107,            0.022566,           0.0070669,          0.00099926,             0.89969,             0.74767,             0.77402,             0.45551,            0.034662,            0.016791,           0.0023952,            0.006502,            0.006502,            0.006502
                 108,             0.02292,           0.0072492,          0.00099858,             0.89681,             0.75311,             0.78155,             0.46919,            0.034153,            0.016457,             0.00365,            0.006469,            0.006469,            0.006469
                 109,            0.023117,           0.0071054,          0.00099504,             0.90717,             0.76653,             0.78461,             0.47332,             0.03358,            0.016382,           0.0021658,            0.006436,            0.006436,            0.006436
                 110,            0.022463,           0.0070226,          0.00093526,             0.91667,             0.76142,             0.78562,             0.46338,            0.034474,            0.016474,           0.0021443,            0.006403,            0.006403,            0.006403
                 111,            0.022631,           0.0068542,          0.00086164,             0.91697,             0.76172,             0.78553,             0.47626,            0.034577,            0.016594,           0.0026806,             0.00637,             0.00637,             0.00637
                 112,            0.022678,           0.0070979,          0.00086443,             0.91042,             0.75868,             0.77878,             0.47229,            0.034124,             0.01598,           0.0020812,            0.006337,            0.006337,            0.006337
                 113,            0.022891,            0.007093,           0.0011837,             0.91449,             0.75618,             0.78642,             0.46994,            0.034486,            0.016924,           0.0033299,            0.006304,            0.006304,            0.006304
                 114,             0.02287,           0.0070308,           0.0010674,             0.91178,             0.76928,             0.78798,             0.47351,            0.034062,            0.016968,           0.0026299,            0.006271,            0.006271,            0.006271
                 115,            0.023115,           0.0070658,           0.0009806,             0.90831,             0.75733,             0.77366,              0.4628,            0.034983,            0.016641,           0.0030063,            0.006238,            0.006238,            0.006238
                 116,            0.023086,           0.0068354,            0.000885,             0.91694,             0.75902,             0.78714,             0.46846,            0.034865,            0.016661,           0.0031789,            0.006205,            0.006205,            0.006205
                 117,            0.022672,           0.0071416,          0.00095005,              0.9053,             0.76342,             0.78126,             0.46507,            0.034876,            0.016604,           0.0030482,            0.006172,            0.006172,            0.006172
                 118,            0.022379,           0.0070561,          0.00094528,             0.90763,             0.76272,             0.78546,             0.46105,            0.034537,            0.016029,           0.0021107,            0.006139,            0.006139,            0.006139
                 119,            0.022029,           0.0070466,           0.0009418,             0.90491,             0.74591,             0.77385,             0.45996,            0.034874,            0.016548,           0.0030263,            0.006106,            0.006106,            0.006106
                 120,            0.022657,           0.0069748,           0.0010033,             0.91305,              0.7573,             0.78087,             0.46221,            0.034241,            0.017048,           0.0033885,            0.006073,            0.006073,            0.006073
                 121,            0.022416,           0.0070809,          0.00095977,             0.90756,             0.76102,              0.7839,             0.46509,            0.034395,            0.016887,           0.0028658,             0.00604,             0.00604,             0.00604
                 122,             0.02232,           0.0072075,           0.0009897,             0.90229,             0.76752,             0.78873,             0.47794,            0.033988,            0.017245,           0.0031314,            0.006007,            0.006007,            0.006007
                 123,            0.022168,           0.0070039,           0.0010406,             0.90761,             0.75752,             0.78269,             0.47713,            0.034229,            0.017095,           0.0023863,            0.005974,            0.005974,            0.005974
                 124,            0.022043,           0.0069755,          0.00089589,             0.90424,               0.747,             0.77226,              0.4743,            0.033961,            0.016704,           0.0023449,            0.005941,            0.005941,            0.005941
                 125,            0.022055,           0.0069444,          0.00080729,             0.90889,             0.75611,             0.78057,             0.46606,            0.034644,            0.016792,           0.0021698,            0.005908,            0.005908,            0.005908
